Date,Futures Yield (corey)
19991231,100
20000131,106.1585193
20000229,109.6305005
20000331,105.8530216
20000428,109.2574009
20000531,118.4141374
20000630,118.1601647
20000731,117.7648939
20000831,123.8450396
20000929,126.9770859
20001031,127.4097357
20001130,130.0991929
20001229,126.4953415
20010131,124.2354962
20010228,122.9498121
20010330,122.3662873
20010430,122.0340914
20010531,120.0426851
20010629,121.7193282
20010731,124.9850116
20010831,130.4233527
20010928,131.0679638
20011031,137.5557304
20011130,134.1325065
20011231,131.7461511
20020131,128.1542261
20020228,128.4732622
20020329,125.9857088
20020430,132.0770733
20020531,135.120516
20020628,142.5379558
20020731,146.7493032
20020830,155.9887631
20020930,159.3912138
20021031,155.2144895
20021129,152.8528225
20021231,165.4735696
20030131,174.5540064
20030228,190.7078966
20030331,179.4508887
20030430,182.4523675
20030530,200.0097569
20030630,200.0513969
20030731,183.875739
20030829,183.720123
20030930,191.0219394
20031031,192.1826517
20031128,192.5586619
20031231,208.3136724
20040130,222.8510296
20040227,241.8606398
20040331,241.7167361
20040430,231.1516652
20040531,235.3458881
20040630,230.3949686
20040730,240.0947893
20040831,239.635666
20040930,250.0378285
20041029,247.5675069
20041130,239.9614369
20041231,240.4962949
20050131,246.6773457
20050228,248.086279
20050331,254.790164
20050429,256.2117178
20050531,262.2589525
20050630,262.9835276
20050729,264.9659349
20050831,264.2713509
20050930,268.1807381
20051031,271.3927445
20051130,277.3111796
20051230,275.7430226
20060131,266.6158254
20060228,278.6583267
20060331,287.1014521
20060428,278.4106213
20060531,281.140164
20060630,285.2036205
20060731,285.9910922
20060831,283.5096985
20060929,294.6651604
20061031,294.7304563
20061130,288.7549027
20061229,305.0176011
20070131,307.8519457
20070228,299.420262
20070330,301.1676877
20070430,303.9658628
20070531,294.9027323
20070629,303.1524279
20070731,308.2294105
20070831,302.9056009
20070928,316.7325871
20071031,336.4717188
20071130,340.2690315
20071231,337.6163564
20080131,339.1560956
20080229,349.4500139
20080331,353.9637637
20080430,358.2339929
20080530,360.6900491
20080630,374.750287
20080731,368.332459
20080829,359.9870315
20080930,363.9542614
20081031,366.6219703
20081128,405.7810576
20081231,453.6080041
20090130,426.5680913
20090227,423.4103171
20090331,438.7868438
20090430,434.4767716
20090529,417.6524951
20090630,415.8053168
20090731,436.2606716
20090831,465.065638
20090930,485.4782255
20091030,483.6975463
20091130,520.9391516
20091231,488.707715
20100129,495.5832574
20100226,500.2984675
20100331,523.0054426
20100430,539.9758289
20100531,555.1735388
20100630,555.0524801
20100730,579.4518453
20100831,594.6696034
20100930,625.370531
20101029,633.839876
20101130,596.6745916
20101231,595.0755054
