Date,Futures Yield (Carry)
1999-12-31,100.0
2000-01-31,106.1585193
2000-02-29,109.6305005
2000-03-31,105.8530216
2000-04-28,109.2574009
2000-05-31,118.4141374
2000-06-30,118.1601647
2000-07-31,117.7648939
2000-08-31,123.8450396
2000-09-29,126.9770859
2000-10-31,127.4097357
2000-11-30,130.0991929
2000-12-29,126.4953415
2001-01-31,124.2354962
2001-02-28,122.9498121
2001-03-30,122.3662873
2001-04-30,122.0340914
2001-05-31,120.0426851
2001-06-29,121.7193282
2001-07-31,124.9850116
2001-08-31,130.4233527
2001-09-28,131.0679638
2001-10-31,137.5557304
2001-11-30,134.1325065
2001-12-31,131.7461511
2002-01-31,128.1542261
2002-02-28,128.4732622
2002-03-29,125.9857088
2002-04-30,132.0770733
2002-05-31,135.120516
2002-06-28,142.5379558
2002-07-31,146.7493032
2002-08-30,155.9887631
2002-09-30,159.3912138
2002-10-31,155.2144895
2002-11-29,152.8528225
2002-12-31,165.4735696
2003-01-31,174.5540064
2003-02-28,190.7078966
2003-03-31,179.4508887
2003-04-30,182.4523675
2003-05-30,200.0097569
2003-06-30,200.0513969
2003-07-31,183.875739
2003-08-29,183.720123
2003-09-30,191.0219394
2003-10-31,192.1826517
2003-11-28,192.5586619
2003-12-31,208.3136724
2004-01-30,222.8510296
2004-02-27,241.8606398
2004-03-31,241.7167361
2004-04-30,231.1516652
2004-05-31,235.3458881
2004-06-30,230.3949686
2004-07-30,240.0947893
2004-08-31,239.635666
2004-09-30,250.0378285
2004-10-29,247.5675069
2004-11-30,239.9614369
2004-12-31,240.4962949
2005-01-31,246.6773457
2005-02-28,248.086279
2005-03-31,254.790164
2005-04-29,256.2117178
2005-05-31,262.2589525
2005-06-30,262.9835276
2005-07-29,264.9659349
2005-08-31,264.2713509
2005-09-30,268.1807381
2005-10-31,271.3927445
2005-11-30,277.3111796
2005-12-30,275.7430226
2006-01-31,266.6158254
2006-02-28,278.6583267
2006-03-31,287.1014521
2006-04-28,278.4106213
2006-05-31,281.140164
2006-06-30,285.2036205
2006-07-31,285.9910922
2006-08-31,283.5096985
2006-09-29,294.6651604
2006-10-31,294.7304563
2006-11-30,288.7549027
2006-12-29,305.0176011
2007-01-31,307.8519457
2007-02-28,299.420262
2007-03-30,301.1676877
2007-04-30,303.9658628
2007-05-31,294.9027323
2007-06-29,303.1524279
2007-07-31,308.2294105
2007-08-31,302.9056009
2007-09-28,316.7325871
2007-10-31,336.4717188
2007-11-30,340.2690315
2007-12-31,337.6163564
2008-01-31,339.1560956
2008-02-29,349.4500139
2008-03-31,353.9637637
2008-04-30,358.2339929
2008-05-30,360.6900491
2008-06-30,374.750287
2008-07-31,368.332459
2008-08-29,359.9870315
2008-09-30,363.9542614
2008-10-31,366.6219703
2008-11-28,405.7810576
2008-12-31,453.6080041
2009-01-30,426.5680913
2009-02-27,423.4103171
2009-03-31,438.7868438
2009-04-30,434.4767716
2009-05-29,417.6524951
2009-06-30,415.8053168
2009-07-31,436.2606716
2009-08-31,465.065638
2009-09-30,485.4782255
2009-10-30,483.6975463
2009-11-30,520.9391516
2009-12-31,488.707715
2010-01-29,495.5832574
2010-02-26,500.2984675
2010-03-31,523.0054426
2010-04-30,539.9758289
2010-05-31,555.1735388
2010-06-30,555.0524801
2010-07-30,579.4518453
2010-08-31,594.6696034
2010-09-30,625.370531
2010-10-29,633.839876
2010-11-30,596.6745916
2010-12-31,595.0755054
2011-01-31,592.7344821
2011-02-28,617.1957367
2011-03-31,618.303705
2011-04-29,680.8147177
2011-05-31,664.2083843
2011-06-30,653.2067483
2011-07-29,678.2017397
2011-08-31,676.444134
2011-09-30,687.4602601
2011-10-31,717.9239066
2011-11-30,732.5856774
2011-12-30,766.418856
2012-01-31,808.4906275
2012-02-29,834.4320224
2012-03-30,838.5427402
2012-04-30,855.5210799
2012-05-31,852.7845876
2012-06-29,858.9176745
2012-07-31,891.61525
2012-08-31,922.8579868
2012-09-28,914.7134897
2012-10-31,898.4363172
2012-11-30,904.1853677
2012-12-31,918.0120936
2013-01-31,929.3058294
2013-02-28,940.5886599
2013-03-29,987.7899877
2013-04-30,1013.923768
2013-05-31,943.3072939
2013-06-28,884.1105608
2013-07-31,926.5030782
2013-08-30,903.316181
2013-09-30,915.6148838
2013-10-31,934.8290684
2013-11-29,916.5627321
2013-12-31,898.7275921
2014-01-31,919.6931751
2014-02-28,948.2563877
2014-03-31,936.3577699
2014-04-30,959.2217464
2014-05-30,984.5110264
2014-06-30,1002.726237
2014-07-31,998.2423523
2014-08-29,1042.603355
2014-09-30,1060.54672
2014-10-31,1075.098488
2014-11-28,1125.158917
2014-12-31,1161.482069
2015-01-30,1197.711709
2015-02-27,1178.012856
2015-03-31,1190.088198
2015-04-30,1153.751679
2015-05-29,1160.175351
2015-06-30,1132.509639
2015-07-31,1198.398121
2015-08-31,1143.748575
2015-09-30,1153.035987
2015-10-30,1164.717402
2015-11-30,1220.773729
2015-12-31,1242.410329
2016-01-29,1280.719225
2016-02-29,1306.229091
2016-03-31,1286.627412
2016-04-29,1246.82056
2016-05-31,1278.534817
2016-06-30,1241.033699
2016-07-29,1270.466119
2016-08-31,1291.665561
2016-09-30,1274.667218
2016-10-31,1308.165291
2016-11-30,1272.607749
2016-12-30,1328.338983
2017-01-31,1264.552958
2017-02-28,1293.16477
2017-03-31,1276.496692
2017-04-28,1287.664762
2017-05-31,1262.75438
2017-06-30,1227.721683
2017-07-31,1186.928931
2017-08-31,1192.654361
2017-09-29,1221.550283
2017-10-31,1249.986398
2017-11-30,1216.382595
2017-12-29,1212.777053
2018-01-31,1158.934321
2018-02-28,1149.043548
2018-03-30,1172.562947
2018-04-30,1228.415343
2018-05-31,1276.71073
2018-06-29,1318.890824
2018-07-31,1317.099729
2018-08-31,1322.894823
2018-09-28,1361.52058
2018-10-31,1405.07258
2018-11-30,1481.130415
2018-12-31,1444.419167
2019-01-31,1410.064311
2019-02-28,1427.748649
2019-03-29,1461.933747
2019-04-30,1524.801837
2019-05-31,1445.090453
2019-06-28,1487.856323
2019-07-31,1505.486443
2019-08-30,1497.757261
2019-09-30,1513.93735
2019-10-31,1495.209495
2019-11-29,1508.668829
2019-12-31,1508.428894
2020-01-31,1491.752739
2020-02-28,1428.398263
2020-03-31,1371.768008
2020-04-30,1388.96786
2020-05-29,1376.461927
2020-06-30,1366.670748
2020-07-31,1337.01519
2020-08-31,1326.962615
2020-09-30,1336.977595
2020-10-30,1303.613373
2020-11-30,1346.108379
2020-12-31,1360.961841
2021-01-29,1352.574716
2021-02-26,1371.628252
2021-03-31,1372.392551
2021-04-30,1411.430263
2021-05-31,1460.061439
2021-06-30,1515.503039
2021-07-30,1551.003734
2021-08-31,1546.397949
2021-09-30,1574.142707
2021-10-29,1603.185403
2021-11-30,1518.535554
2021-12-31,1555.03873
2022-01-31,1595.630434
2022-02-28,1588.122626
2022-03-31,1651.319948
2022-04-29,1765.453425
2022-05-31,1825.510249
2022-06-30,1818.627283
2022-07-29,1824.202414
2022-08-31,1904.815203
2022-09-30,1990.873479
2022-10-31,2069.481749
2022-11-30,1939.345442
2022-12-30,1923.642775
2023-01-31,1853.845226
2023-02-28,1933.344388
2023-03-31,1891.388323
2023-04-28,1911.87962
2023-05-31,1991.600671
2023-06-30,2024.899933
2023-07-31,2060.371063
2023-08-31,2134.490015
2023-09-29,2324.97759
2023-10-31,2309.967297
2023-11-30,2202.731669
2023-12-29,2084.572199
2024-01-31,2116.265963
2024-02-29,2148.610888
2024-03-29,2162.533897
2024-04-30,2206.040209
2024-05-31,2110.795397
2024-06-28,2144.092618
2024-07-31,2079.686514
2024-08-30,2028.486063
2024-09-30,2000.572952
2024-10-31,1919.911153
2024-11-29,1949.509332
2024-12-31,1963.396997
2025-01-31,1911.042377
