Date,33.34% MF CTA / 33.33% Merger Arb / 33.33% Gold (Level)
1999-11-30,100.0
1999-12-31,100.490593
2000-01-31,101.032482
2000-02-29,103.278146
2000-03-31,100.513685
2000-04-28,101.806336
2000-05-31,103.055165
2000-06-30,105.131545
2000-07-31,103.63471
2000-08-31,105.025739
2000-09-29,104.323414
2000-10-31,104.101755
2000-11-30,108.161748
2000-12-29,112.292529
2001-01-31,112.097739
2001-02-28,112.713941
2001-03-30,114.358856
2001-04-30,113.735037
2001-05-31,114.793433
2001-06-29,114.384174
2001-07-31,114.227608
2001-08-31,116.68599
2001-09-28,120.797112
2001-10-31,121.616179
2001-11-30,118.203396
2001-12-31,119.270466
2002-01-31,120.638101
2002-02-28,121.26687
2002-03-29,123.994285
2002-04-30,124.327352
2002-05-31,127.355834
2002-06-28,129.298701
2002-07-31,130.766461
2002-08-30,133.613281
2002-09-30,137.708082
2002-10-31,134.764153
2002-11-29,133.481769
2002-12-31,142.104231
2003-01-31,147.530285
2003-02-28,148.350581
2003-03-31,144.195421
2003-04-30,145.952508
2003-05-30,156.874771
2003-06-30,153.385515
2003-07-31,153.781509
2003-08-29,157.755305
2003-09-30,161.38847
2003-10-31,162.396754
2003-11-28,163.991946
2003-12-31,169.02384
2004-01-30,169.497647
2004-02-27,172.116874
2004-03-31,176.022657
2004-04-30,166.065943
2004-05-31,167.020866
2004-06-30,164.855508
2004-07-30,163.348897
2004-08-31,167.654322
2004-09-30,170.20804
2004-10-29,174.351568
2004-11-30,182.561636
2004-12-31,183.150706
2005-01-31,178.074277
2005-02-28,181.094149
2005-03-31,179.998369
2005-04-29,178.925563
2005-05-31,179.935173
2005-06-30,184.94575
2005-07-29,184.76748
2005-08-31,186.502124
2005-09-30,191.391434
2005-10-31,189.786508
2005-11-30,195.255949
2005-12-30,198.855315
2006-01-31,209.127866
2006-02-28,207.44648
2006-03-31,213.030537
2006-04-28,226.108119
2006-05-31,224.638
2006-06-30,222.542264
2006-07-31,225.059072
2006-08-31,223.720983
2006-09-29,220.825475
2006-10-31,225.556477
2006-11-30,234.025875
2006-12-29,236.84694
2007-01-31,245.200579
2007-02-28,255.80179
2007-03-30,254.361299
2007-04-30,259.89563
2007-05-31,262.61141
2007-06-29,268.736852
2007-07-31,279.516251
2007-08-31,279.454875
2007-09-28,294.956104
2007-10-31,310.779491
2007-11-30,309.44064
2007-12-31,318.135792
2008-01-31,334.819533
2008-02-29,352.355035
2008-03-31,346.021644
2008-04-30,337.911609
2008-05-30,344.016482
2008-06-30,353.715633
2008-07-31,346.38017
2008-08-29,336.157298
2008-09-30,340.90699
2008-10-31,328.410847
2008-11-28,349.410561
2008-12-31,365.265603
2009-01-30,375.081146
2009-02-27,377.506015
2009-03-31,368.876875
2009-04-30,357.702347
2009-05-29,374.648123
2009-06-30,368.016825
2009-07-31,371.755808
2009-08-31,374.984421
2009-09-30,386.059902
2009-10-30,388.743502
2009-11-30,410.375841
2009-12-31,399.149827
2010-01-29,394.867052
2010-02-26,402.521725
2010-03-31,410.346601
2010-04-30,422.95575
2010-05-31,421.50488
2010-06-30,423.562289
2010-07-30,420.356628
2010-08-31,434.008031
2010-09-30,447.825111
